"","Water.Control.Zone","Station","Dates","Sample.No","Depth","Volatile.Suspended.Solids..mg.L.","Unionised.Ammonia..mg.L.","Turbidity..NTU.","Total.Phosphorus..mg.L.","Total.Nitrogen..mg.L.","Total.Kjeldahl.Nitrogen..mg.L.","Total.Inorganic.Nitrogen..mg.L.","Temperature...C.","Suspended.Solids..mg.L.","Silica..mg.L.","Secchi.Disc.Depth..M.","Salinity..psu.","Phaeo.pigments..μg.L.","pH","Orthophosphate.Phosphorus..mg.L.","Nitrite.Nitrogen..mg.L.","Nitrate.Nitrogen..mg.L.","Faecal.Coliforms..cfu.100mL.","E..coli..cfu.100mL.","Dissolved.Oxygen..mg.L.","Dissolved.Oxygen...saturation.","Chlorophyll.a..μg.L.","Ammonia.Nitrogen..mg.L.","X5.day.Biochemical.Oxygen.Demand..mg.L.","site","phase"
"1385","Mirs Bay","MM8","2022-02-24",1,"Middle Water","1.6","<0.001","11","0.07","1.38","1.3","0.11",15.2,"9.7","0.89",1.8,32,"<0.2",7.6,"0.017","0.017","0.065","2","<1",7.6,92,"0.7","0.027","<0.1","CDA","middle"
"1386","Mirs Bay","MM8","2022-02-24",1,"Bottom Water","0.7","<0.001","13.9","0.08","1.39","1.3","0.13",15.2,"6.1","0.9",1.8,32.1,"0.3",7.6,"0.018","0.017","0.072","<1","<1",7.6,92,"0.3","0.037","0.4","CDA","middle"
"1387","Mirs Bay","MM8","2022-04-25",1,"Surface Water","1","0.001","7.1","0.02","0.48","0.48","0.02",24.5,"2.6","0.35",5.3,33,"<0.2",8.4,"<0.002","<0.002","<0.002","<1","<1",6.3,91,"0.9","0.015","0.7","CDA","middle"
"1388","Mirs Bay","MM8","2022-04-25",1,"Middle Water","0.6","0.002","6.8","0.02","0.5","0.5","0.03",22.5,"3.7","0.41",5.3,33.6,"<0.2",8.4,"<0.002","<0.002","<0.002","<1","<1",6.6,93,"1.1","0.025","0.7","CDA","middle"
"1389","Mirs Bay","MM8","2022-04-25",1,"Bottom Water","<0.5","0.002","10.2","<0.02","0.24","0.23","0.03",22.4,"4.7","0.44",5.3,33.8,"<0.2",8.3,"<0.002","0.005","<0.002","<1","<1",6.3,88,"0.9","0.026","0.3","CDA","middle"
"1390","Mirs Bay","MM8","2022-05-26",1,"Surface Water","1.3","<0.001","6.2","<0.02","0.68","0.65","0.04",25.3,"3.9","0.31",7.6,32.7,"<0.2",8.2,"<0.002","<0.002","0.027","<1","<1",6.1,90,"1.5","0.01","<0.1","CDA","middle"
"1391","Mirs Bay","MM8","2022-05-26",1,"Middle Water","1.1","<0.001","6.4","0.03","0.62","0.59","0.04",24.8,"4.5","0.33",7.6,32.8,"<0.2",8.2,"0.008","<0.002","0.027","<1","<1",6.2,91,"2","0.011","<0.1","CDA","middle"
"1392","Mirs Bay","MM8","2022-05-26",1,"Bottom Water","1.5","<0.001","7.8","0.02","0.5","0.47","0.04",24.5,"6.3","0.44",7.6,32.9,"<0.2",8.2,"0.008","<0.002","0.025","<1","<1",6.1,89,"0.5","0.014","<0.1","CDA","middle"
"1393","Mirs Bay","MM8","2022-06-22",1,"Surface Water","2.2","0.004","7","<0.02","0.72","0.23","0.52",28.2,"4.8","1.1",2.7,24.1,"4.1",8.5,"<0.002","0.04","0.45","4","2",10.5,154,"21","0.026","2.9","CDA","middle"
"1394","Mirs Bay","MM8","2022-06-22",1,"Middle Water","1.2","<0.001","7.7","0.03","0.53","0.41","0.13",24.5,"3.7","0.52",2.7,34.1,"2.1",8,"0.007","0.027","0.096","3","1",4.6,67,"5.2","0.005","0.3","CDA","middle"
"1395","Mirs Bay","MM8","2022-06-22",1,"Bottom Water","2.2","<0.001","9.2","0.03","0.48","0.39","0.09",23.6,"11","0.61",2.7,34.2,"0.3",8,"0.009","0.013","0.076","2","1",4.6,66,"0.9","<0.005","1.7","CDA","middle"
"1396","Mirs Bay","MM8","2022-07-22",1,"Surface Water","5.8","0.003","7.8","0.04","0.37","0.23","0.18",28.8,"27","0.68",1.9,26.5,"3.2",8.2,"<0.002","0.013","0.13","17","4",6.8,102,"33","0.032","4.3","CDA","final"
"1397","Mirs Bay","MM8","2022-07-22",1,"Middle Water","<0.5","<0.001","7.4","0.04","0.25","0.1","0.17",23.8,"2","1.1",1.9,34.1,"1",7.8,"0.013","0.002","0.15","1","<1",2.9,42,"1.5","0.014","0.2","CDA","final"
"1398","Mirs Bay","MM8","2022-07-22",1,"Bottom Water","1.2","<0.001","12.1","0.03","0.49","0.35","0.16",22.3,"7.1","0.96",1.9,34.3,"1",7.8,"0.007","0.003","0.14","4","1",4.3,60,"9.1","0.021","0.3","CDA","final"
"1399","Mirs Bay","MM8","2022-08-18",1,"Surface Water","1.3","<0.001","0.5","0.02","0.2","0.17","0.04",29.5,"5.1","0.08",4.4,30.5,"1.2",7.7,"<0.002","<0.002","0.024","8","1",4.9,75,"8.9","0.01","1","CDA","final"
"1400","Mirs Bay","MM8","2022-08-18",1,"Middle Water","1.3","<0.001","0.7","0.03","0.27","0.16","0.13",25.8,"2.8","0.81",4.4,32.2,"0.7",7.5,"0.01","0.012","0.1","2","1",4.9,72,"4.3","0.017","0.3","CDA","final"
"1401","Mirs Bay","MM8","2022-08-18",1,"Bottom Water","1.7","<0.001","3.4","0.04","0.26","0.11","0.16",21.8,"3.3","1.4",4.4,34.3,"<0.2",7.3,"0.018","0.004","0.15","<1","<1",3,41,"1.4","0.01","<0.1","CDA","final"
"1402","Mirs Bay","MM8","2022-09-23",1,"Surface Water","0.8","<0.001","4.1","0.09","0.24","0.22","0.03",29.3,"1.2","0.25",4.6,32.7,"<0.2",8.2,"<0.002","<0.002","0.019","1","<1",5.6,88,"0.9","<0.005","0.5","CDA","final"
"1403","Mirs Bay","MM8","2022-09-23",1,"Middle Water","<0.5","<0.001","4.1","0.08","0.2","0.18","0.03",28.8,"0.6","0.23",4.6,33.4,"<0.2",8.2,"<0.002","<0.002","0.021","<1","<1",6.2,97,"0.3","<0.005","<0.1","CDA","final"
"1404","Mirs Bay","MM8","2022-09-23",1,"Bottom Water","<0.5","<0.001","4.1","0.07","0.21","0.19","0.03",27.7,"1.2","0.68",4.6,33.4,"0.3",8.1,"<0.002","<0.002","0.021","<1","<1",5,77,"0.9","<0.005","<0.1","CDA","final"
"1405","Mirs Bay","MM8","2022-10-21",1,"Surface Water","2.2","<0.001","4.2","0.08","0.63","0.56","0.07",25.8,"15","1.4",1.5,33.5,"0.9",8.2,"0.014","0.03","0.039","1","<1",6.9,102,"0.6","<0.005","0.1","CDA","final"
"1406","Mirs Bay","MM8","2022-10-21",1,"Middle Water","2.6","<0.001","4.2","0.07","0.29","0.22","0.08",25.5,"18","1.3",1.5,33.6,"0.2",8.1,"0.014","0.03","0.042","<1","<1",5.8,86,"0.7","<0.005","<0.1","CDA","final"
"1407","Mirs Bay","MM8","2022-10-21",1,"Bottom Water","3.1","<0.001","4.2","0.07","0.44","0.38","0.07",25.3,"18","1.3",1.5,33.7,"0.5",8.2,"0.013","0.024","0.033","<1","<1",6.1,90,"0.4","0.011","<0.1","CDA","final"
"1408","Mirs Bay","MM8","2022-11-28",1,"Surface Water","0.6","<0.001","9.3","0.08","0.52","0.51","0.06",24,"1.4","0.25",3.7,32.7,"<0.2",7.4,"<0.002","<0.002","0.01","1","<1",5.3,76,"0.2","0.05","0.5","CDA","final"
"1409","Mirs Bay","MM8","2022-11-28",1,"Middle Water","0.7","<0.001","19","0.08","0.46","0.45","0.07",23.3,"2.5","0.3",3.7,32.9,"0.5",7.4,"0.013","0.002","0.01","<1","<1",6.6,93,"0.8","0.053","0.3","CDA","final"
"1410","Mirs Bay","MM8","2022-11-28",1,"Bottom Water","0.8","<0.001","28","0.08","0.58","0.56","0.06",23.2,"3.3","0.31",3.7,32.9,"1",7.4,"<0.002","0.002","0.015","1","1",6.5,92,"1.7","0.039","0.3","CDA","final"
"1411","Mirs Bay","MM8","2022-12-16",1,"Surface Water","0.7","<0.001","3.5","0.05","0.79","0.71","0.1",20.7,"5","0.64",2.7,33.1,"<0.2",7.5,"0.009","0.045","0.036","<1","<1",6.1,83,"0.3","0.018","0.5","CDA","final"
"1412","Mirs Bay","MM8","2022-12-16",1,"Middle Water","0.9","<0.001","5.7","0.05","0.79","0.71","0.09",20.3,"8.2","0.73",2.7,33,"<0.2",7.5,"0.008","0.045","0.034","1","<1",6.6,89,"<0.2","0.011","0.5","CDA","final"
"1413","Mirs Bay","MM8","2022-12-16",1,"Bottom Water","3.5","<0.001","14.3","0.05","0.55","0.47","0.1",20.2,"14","0.77",2.7,33,"<0.2",7.5,"0.007","0.044","0.04","<1","<1",6.6,88,"0.4","0.016","0.4","CDA","final"
"3114","Tolo Harbour and Channel","TM4","2020-06-18",1,"Surface Water","3","0.002","3","<0.02","0.94","0.94","0.03",29.8,"13","0.21",2.4,28.8,"1.2",8.3,"<0.002","<0.002","<0.002","3","1",6.2,96,"4.8","0.021","1.9","CI","initial"
"3115","Tolo Harbour and Channel","TM4","2020-06-18",1,"Middle Water","3.2","0.001","1.1","<0.02","0.68","0.68","0.03",29.1,"12","0.31",2.4,29.6,"0.5",7.8,"<0.002","<0.002","<0.002","<1","<1",6.2,95,"4.6","0.028","1.3","CI","initial"
"3116","Tolo Harbour and Channel","TM4","2020-06-18",1,"Bottom Water","1.8","<0.001","2","0.02","0.93","0.93","0.05",27.8,"8","0.7",2.4,31,"0.6",7.6,"<0.002","<0.002","<0.002","1","<1",6.5,98,"4.4","0.047","1.2","CI","initial"
"3117","Tolo Harbour and Channel","TM4","2020-08-26",1,"Surface Water","1","<0.001","3.3","0.05","0.47","0.46","0.02",29.9,"1.3","0.65",2.9,30.6,"0.3",7.9,"0.008","<0.002","0.003","6","<1",6.5,102,"3.4","0.015","1.3","CI","initial"
"3118","Tolo Harbour and Channel","TM4","2020-08-26",1,"Middle Water","1","<0.001","2.4","0.03","0.43","0.43","0.01",29.5,"1.5","0.61",2.9,30.9,"<0.2",7.9,"0.005","<0.002","<0.002","6","<1",5.2,81,"3.4","0.009","1.4","CI","initial"
"3119","Tolo Harbour and Channel","TM4","2020-08-26",1,"Bottom Water","0.8","0.001","2.8","0.06","0.88","0.87","0.04",28.3,"1.8","0.82",2.9,31.7,"1.2",7.8,"0.009","0.003","<0.002","<1","<1",5.1,78,"6.2","0.033","1.6","CI","initial"
"3120","Tolo Harbour and Channel","TM4","2020-09-16",1,"Surface Water","4.7","0.003","6","0.04","0.36","0.29","0.1",29.2,"14","1.4",1.8,23.4,"1.4",8.3,"0.01","0.006","0.064","5200","900",6.3,94,"19","0.031","2.9","CI","initial"
"3121","Tolo Harbour and Channel","TM4","2020-09-16",1,"Middle Water","3.6","0.001","3.2","0.05","0.58","0.57","0.03",29.9,"13","0.73",1.8,27.6,"1.5",8.1,"0.004","<0.002","0.005","2400","340",6.3,97,"12","0.02","2","CI","initial"
"3122","Tolo Harbour and Channel","TM4","2020-09-16",1,"Bottom Water","3.4","<0.001","3.2","0.06","0.47","0.46","0.03",29.7,"12","0.61",1.8,30.2,"1",8,"0.004","<0.002","0.008","2400","390",6.3,99,"12","0.018","2","CI","initial"
"3123","Tolo Harbour and Channel","TM4","2020-10-16",1,"Surface Water","1","0.004","2.5","0.04","0.54","0.5","0.11",27,"1.4","2.1",2.5,27.2,"1.3",8,"0.006","0.003","0.034","19","1",5.9,87,"1.4","0.073","1.2","CI","initial"
"3124","Tolo Harbour and Channel","TM4","2020-10-16",1,"Middle Water","0.5","0.003","2.3","0.04","1.03","1","0.1",27.4,"0.6","1.7",2.5,29.1,"1",8,"0.005","0.004","0.024","20","<1",6.1,91,"1.6","0.068","0.9","CI","initial"
"3125","Tolo Harbour and Channel","TM4","2020-10-16",1,"Bottom Water","0.8","0.003","2.5","0.05","0.57","0.54","0.12",28,"1","1.6",2.5,31.1,"1",7.9,"0.007","0.008","0.022","10","2",3.2,48,"1.6","0.086","0.8","CI","initial"
"3126","Tolo Harbour and Channel","TM4","2020-11-13",1,"Surface Water","3.9","0.002","3.1","0.02","0.84","0.84","0.04",24,"19","0.2",2.2,30.6,"2.6",8.1,"0.002","<0.002","<0.002","260","50",7.6,108,"8.1","0.038","2.8","CI","initial"
"3127","Tolo Harbour and Channel","TM4","2020-11-13",1,"Middle Water","5.2","<0.001","2.7","0.03","0.72","0.72","0.01",24.9,"19","0.2",2.2,32.3,"1.9",7.9,"<0.002","<0.002","<0.002","460","190",8.1,118,"6.5","0.009","2.7","CI","initial"
"3128","Tolo Harbour and Channel","TM4","2020-11-13",1,"Bottom Water","4.8","<0.001","3.6","0.06","0.36","0.34","0.04",25.1,"18","0.48",2.2,33,"2.2",7.7,"0.005","0.014","0.01","140","68",2.9,38,"8.2","0.016","1.9","CI","initial"
"3129","Tolo Harbour and Channel","TM4","2021-02-26",1,"Surface Water","0.8","0.001","3.5","0.05","1","1","0.04",21.8,"1.5","1.1",2.7,31.1,"1.1",8,"0.003","0.002","<0.002","16","<1",5.1,70,"1.1","0.039","2.3","CI","initial"
"3130","Tolo Harbour and Channel","TM4","2021-02-26",1,"Middle Water","<0.5","0.001","2.4","0.05","0.93","0.92","0.04",20.8,"<0.5","1.1",2.7,31.4,"0.5",8,"0.003","<0.002","0.003","8","2",5.3,72,"1.9","0.035","2.2","CI","initial"
"3131","Tolo Harbour and Channel","TM4","2021-02-26",1,"Bottom Water","0.7","<0.001","2.6","0.04","1.11","1.1","0.04",19.7,"0.8","1.3",2.7,31.7,"0.5",7.9,"0.003","<0.002","0.004","8","2",5.5,72,"2.5","0.031","1.8","CI","initial"
"3132","Tolo Harbour and Channel","TM4","2021-03-17",1,"Surface Water","2.4","0.002","3.4","0.05","0.35","0.31","0.09",23,"2.4","1.2",2,30.9,"2.8",8,"0.004","0.004","0.038","80","49",5.4,75,"9.9","0.051","2.4","CI","initial"
"3133","Tolo Harbour and Channel","TM4","2021-03-17",1,"Middle Water","1.2","<0.001","2.4","0.03","0.28","0.28","0.04",21.7,"1.2","1.4",2,31.5,"0.9",7.8,"0.005","<0.002","<0.002","8","5",5.8,79,"5.5","0.032","1.6","CI","initial"
"3134","Tolo Harbour and Channel","TM4","2021-03-17",1,"Bottom Water","1","0.001","2.5","0.05","0.24","0.23","0.06",20.9,"1","1.6",2,31.8,"<0.2",7.8,"0.004","<0.002","0.004","16","6",6,80,"8.1","0.057","2","CI","initial"
"3135","Tolo Harbour and Channel","TM4","2021-04-23",1,"Surface Water","0.7","0.002","2.5","0.04","0.84","0.81","0.14",25.4,"1","1",3.7,31.9,"0.6",7.6,"0.011","0.003","0.031","3","1",4.5,65,"1.2","0.11","1.3","CI","initial"
"3136","Tolo Harbour and Channel","TM4","2021-04-23",1,"Middle Water","<0.5","<0.001","2.5","0.04","0.61","0.6","0.06",24.3,"1.1","1.3",3.7,32.5,"0.5",7.6,"0.013","<0.002","0.003","5","3",4.7,68,"1.3","0.053","0.7","CI","initial"
"3137","Tolo Harbour and Channel","TM4","2021-04-23",1,"Bottom Water","0.7","<0.001","3.7","0.04","1.1","1.1","0.07",23.6,"1","1.4",3.7,33.1,"0.4",7.5,"0.006","<0.002","0.002","5","<1",4.8,68,"3.6","0.066","1","CI","initial"
"3138","Tolo Harbour and Channel","TM4","2021-05-21",1,"Surface Water","0.9","<0.001","4.9","N/A","N/A","N/A","0.02",28.2,"1.8","0.23",2.8,33.3,"0.9",7.5,"0.006","<0.002","<0.002","<1","<1",4.4,68,"2.4","0.02","1.2","CI","initial"
"3139","Tolo Harbour and Channel","TM4","2021-05-21",1,"Middle Water","1.1","<0.001","2.8","N/A","N/A","N/A","0.03",28,"1.8","0.23",2.8,33.4,"1",7.4,"0.006","<0.002","<0.002","1","<1",4.4,68,"3.8","0.027","1.2","CI","initial"
"3140","Tolo Harbour and Channel","TM4","2021-05-21",1,"Bottom Water","0.7","<0.001","3.7","N/A","N/A","N/A","0.05",26.3,"2.4","0.52",2.8,33.5,"2.9",7.3,"0.006","<0.002","<0.002","1","<1",4.5,67,"8.6","0.041","1.1","CI","initial"
"3141","Tolo Harbour and Channel","TM4","2021-06-03",1,"Surface Water","0.8","0.001","4.5","N/A","N/A","N/A","0.05",28.5,"1.6","0.77",1.8,32.1,"1.3",7.6,"0.004","<0.002","<0.002","86","63",4.9,75,"5.5","0.05","1.4","CI","initial"
"3142","Tolo Harbour and Channel","TM4","2021-06-03",1,"Middle Water","1","<0.001","2.9","N/A","N/A","N/A","0.04",27.6,"1.2","0.77",1.8,33.2,"1.7",7.5,"0.005","<0.002","0.002","7","<1",5.4,83,"4","0.034","1","CI","initial"
"3143","Tolo Harbour and Channel","TM4","2021-06-03",1,"Bottom Water","0.8","<0.001","3.2","N/A","N/A","N/A","0.07",26.1,"2.8","1.1",1.8,33.8,"2.3",7.3,"0.006","0.008","0.002","9","3",5.1,76,"3.4","0.06","1","CI","initial"
"3144","Tolo Harbour and Channel","TM4","2021-07-16",1,"Surface Water","1","<0.001","3.3","N/A","N/A","N/A","0.04",31.9,"1.2","0.31",2.8,32,"0.7",7.5,"0.003","<0.002","0.007","3","<1",4.2,69,"2.9","0.031","1.1","CI","middle"
"3145","Tolo Harbour and Channel","TM4","2021-07-16",1,"Middle Water","0.7","<0.001","2.8","N/A","N/A","N/A","0.06",31.9,"1.4","0.36",2.8,32,"0.9",7.5,"<0.002","<0.002","0.019","41","<1",4.4,72,"2.8","0.042","1.4","CI","middle"
"3146","Tolo Harbour and Channel","TM4","2021-07-16",1,"Bottom Water","1","<0.001","3.1","N/A","N/A","N/A","0.05",29.5,"2.9","1",2.8,32.8,"1.3",7.2,"0.012","<0.002","0.01","4","<1",4.4,69,"4.6","0.038","1.3","CI","middle"
"3147","Tolo Harbour and Channel","TM4","2021-08-20",1,"Surface Water","2.7","<0.001","3.3","N/A","N/A","N/A","0.03",30.3,"13","0.15",2.6,29.8,"<0.2",7.6,"<0.002","<0.002","0.003","1","1",4.3,68,"5.7","0.028","1.7","CI","middle"
"3148","Tolo Harbour and Channel","TM4","2021-08-20",1,"Middle Water","1.2","<0.001","3.1","N/A","N/A","N/A","0.02",27.3,"2","0.18",2.6,33.2,"<0.2",7.2,"<0.002","<0.002","<0.002","2","<1",4.9,74,"2.3","0.019","1.2","CI","middle"
"3149","Tolo Harbour and Channel","TM4","2021-08-20",1,"Bottom Water","0.8","<0.001","14.6","N/A","N/A","N/A","0.06",24.9,"3.2","1.9",2.6,34.1,"1.9",7.1,"0.027","0.004","<0.002","1","1",4.2,61,"2.4","0.058","1.2","CI","middle"
"3150","Tolo Harbour and Channel","TM4","2021-09-16",1,"Surface Water","1.3","0.002","7.9","N/A","N/A","N/A","0.05",30.8,"2.5","0.94",2.5,32,"0.7",8.1,"<0.002","<0.002","0.019","54","14",4.6,74,"9.4","0.029","1.9","CI","middle"
"3151","Tolo Harbour and Channel","TM4","2021-09-16",1,"Middle Water","1.4","0.002","1.7","N/A","N/A","N/A","0.06",30.2,"3","1.1",2.5,32.4,"1.4",8,"<0.002","<0.002","0.023","65","23",5.6,89,"7.7","0.038","1.7","CI","middle"
"3152","Tolo Harbour and Channel","TM4","2021-09-16",1,"Bottom Water","1.2","0.002","2.7","N/A","N/A","N/A","0.08",27.1,"3.2","1.6",2.5,33.5,"2.5",7.8,"0.017","<0.002","0.023","34","11",5.4,81,"5.2","0.055","1.1","CI","middle"
"3153","Tolo Harbour and Channel","TM4","2021-10-18",1,"Surface Water","1","0.002","6.4","N/A","N/A","N/A","0.19",25,"2","2.1",2.3,20.8,"0.2",8.1,"<0.002","0.01","0.15","190","41",6.9,94,"7.8","0.027","1.5","CI","middle"
"3154","Tolo Harbour and Channel","TM4","2021-10-18",1,"Middle Water","2.4","0.001","5.1","N/A","N/A","N/A","0.17",27.3,"7.5","2.1",2.3,26,"1.3",7.9,"<0.002","0.01","0.13","67","17",6.5,94,"6.9","0.027","1.2","CI","middle"
"3155","Tolo Harbour and Channel","TM4","2021-10-18",1,"Bottom Water","1","<0.001","5","N/A","N/A","N/A","0.17",27.9,"1.8","2.4",2.3,30.8,"1.7",7.8,"<0.002","0.01","0.14","110","30",6.3,96,"7","0.019","1.2","CI","middle"
"3156","Tolo Harbour and Channel","TM4","2021-11-11",1,"Surface Water","1.6","0.001","6.8","0.13","0.42","0.4","0.09",23.9,"2.3","1.1",2.2,30.2,"1",7.7,"0.003","<0.002","0.017","170","28",6.3,88,"3.8","0.069","2.1","CI","middle"
"3157","Tolo Harbour and Channel","TM4","2021-11-11",1,"Middle Water","1.6","<0.001","5.2","0.07","0.38","0.36","0.07",24.3,"2.4","0.97",2.2,31,"1.1",7.6,"0.004","0.003","0.017","240","22",6.1,87,"4.8","0.045","1.8","CI","middle"
"3158","Tolo Harbour and Channel","TM4","2021-11-11",1,"Bottom Water","1.5","<0.001","5.4","0.07","0.42","0.39","0.09",25.9,"2.3","1.2",2.2,32.6,"1.5",7.4,"0.002","0.003","0.027","190","23",3.8,56,"5.5","0.055","2.1","CI","middle"
"3159","Tolo Harbour and Channel","TM4","2021-12-15",1,"Surface Water","2.9","<0.001","5.6","<0.02","0.79","0.78","0.03",21.5,"9.2","0.17",1.8,32.4,"0.7",7.6,"0.003","<0.002","0.004","42","5",6.3,86,"5.9","0.028","1.8","CI","middle"
"3160","Tolo Harbour and Channel","TM4","2021-12-15",1,"Middle Water","3.5","<0.001","5.5","<0.02","0.81","0.81","0.03",21.5,"12","0.16",1.8,32.5,"0.8",7.6,"0.005","<0.002","<0.002","38","1",7,96,"6","0.021","1.7","CI","middle"
"3161","Tolo Harbour and Channel","TM4","2021-12-15",1,"Bottom Water","1.6","<0.001","5.6","0.02","1.2","1.2","0.03",21.3,"2.4","0.49",1.8,33.3,"0.9",7.5,"0.005","<0.002","<0.002","16","2",6.4,87,"4.5","0.023","1.3","CI","middle"
"3162","Tolo Harbour and Channel","TM4","2022-01-20",1,"Surface Water","2.6","<0.001","7","<0.02","0.53","0.53","0.04",19,"6.5","0.57",2.5,32.7,"0.8",7.6,"0.006","<0.002","<0.002","110","64",6.5,85,"7.3","0.031","1.1","CI","middle"
"3163","Tolo Harbour and Channel","TM4","2022-01-20",1,"Middle Water","1.9","<0.001","5.2","0.02","0.57","0.57","0.04",19,"3.4","0.53",2.5,32.8,"1.4",7.6,"0.005","<0.002","<0.002","86","46",6.8,90,"5.7","0.033","1.2","CI","middle"
"3164","Tolo Harbour and Channel","TM4","2022-01-20",1,"Bottom Water","1.8","<0.001","5.2","<0.02","0.42","0.42","0.03",19.3,"4","0.7",2.5,33.5,"1.6",7.5,"0.005","<0.002","<0.002","39","21",6.9,92,"5.5","0.03","1","CI","middle"
"3165","Tolo Harbour and Channel","TM4","2022-02-10",1,"Surface Water","2.1","<0.001","7.6","0.02","0.32","0.32","0.04",17.3,"3.8","0.66",2.2,33,"1.4",7.3,"0.004","<0.002","<0.002","190","70",6.8,87,"7.7","0.039","1.7","CI","middle"
"3166","Tolo Harbour and Channel","TM4","2022-02-10",1,"Middle Water","1.8","<0.001","5.7","0.02","0.35","0.35","0.04",17.6,"3.2","0.66",2.2,33,"1.7",7.4,"0.005","<0.002","<0.002","90","50",6.9,88,"7.4","0.036","1.6","CI","middle"
"3167","Tolo Harbour and Channel","TM4","2022-02-10",1,"Bottom Water","2.1","<0.001","5.7","0.03","0.46","0.46","0.04",17.8,"3.6","0.66",2.2,33.2,"1.6",7.4,"0.007","<0.002","<0.002","150","67",7.6,98,"6.9","0.038","1.6","CI","middle"
"3168","Tolo Harbour and Channel","TM4","2022-03-28",1,"Surface Water","1.8","<0.001","6.1","0.05","0.48","0.42","0.12",21.5,"3.7","0.73",3.3,30.4,"1.8",7.5,"<0.002","0.006","0.058","4500","2100",6.6,89,"7.2","0.058","1.4","CI","middle"
"3169","Tolo Harbour and Channel","TM4","2022-03-28",1,"Middle Water","1.4","<0.001","5","0.05","0.49","0.46","0.08",21.4,"2.9","0.63",3.3,30.7,"1.8",7.5,"<0.002","0.004","0.03","1300","780",6,82,"5","0.048","1.2","CI","middle"
"3170","Tolo Harbour and Channel","TM4","2022-03-28",1,"Bottom Water","1.2","<0.001","5","0.05","0.45","0.42","0.08",21.6,"3","0.64",3.3,31.5,"1.6",7.5,"<0.002","0.004","0.03","1200","680",6.7,91,"4.5","0.049","1","CI","middle"
"3171","Tolo Harbour and Channel","TM4","2022-04-27",1,"Surface Water","0.9","0.004","6.1","0.02","0.45","0.45","0.04",26.3,"1.7","0.54",3.2,31.1,"1.5",8.4,"<0.002","<0.002","<0.002","1","<1",5.4,79,"2.1","0.036","2.6","CI","middle"
"3172","Tolo Harbour and Channel","TM4","2022-04-27",1,"Middle Water","1.2","0.003","6","0.03","0.57","0.57","0.04",23.9,"4.3","0.89",3.2,31.6,"0.9",8.3,"<0.002","<0.002","<0.002","67","5",6.9,98,"3.2","0.039","5.3","CI","middle"
"3173","Tolo Harbour and Channel","TM4","2022-04-27",1,"Bottom Water","1.6","0.003","5.7","0.02","0.12","0.12","0.05",22.1,"3.8","0.81",3.2,32.3,"1.1",8.3,"<0.002","<0.002","<0.002","22","5",5.6,77,"2.2","0.042","6.1","CI","middle"
"3174","Tolo Harbour and Channel","TM4","2022-05-13",1,"Surface Water","1.8","0.006","10.6","0.04","0.53","0.37","0.27",25.3,"7.3","2",1.1,22.5,"1.6",8.1,"<0.002","<0.002","0.16","4800","1900",5.5,76,"2.2","0.11","0.9","CI","middle"
"3175","Tolo Harbour and Channel","TM4","2022-05-13",1,"Middle Water","1.8","0.002","5.7","0.04","0.3","0.27","0.09",25.5,"5.1","1.4",1.1,31.4,"1.6",7.9,"0.014","<0.002","0.027","3200","900",5.6,81,"1","0.06","0.5","CI","middle"
"3176","Tolo Harbour and Channel","TM4","2022-05-13",1,"Bottom Water","1.1","0.002","5.9","0.03","0.15","0.14","0.1",24.1,"2.6","1.3",1.1,32.4,"0.4",7.8,"0.01","0.005","0.006","2200","900",3.2,46,"1","0.088","0.4","CI","middle"
"3177","Tolo Harbour and Channel","TM4","2022-06-09",1,"Surface Water","2.6","0.004","9.1","0.03","0.32","0.16","0.24",26.2,"7.4","2.3",1.6,22.6,"2.9",8,"<0.002","0.012","0.15","3000","1200",6.2,87,"1.1","0.079","1.3","CI","middle"
"3178","Tolo Harbour and Channel","TM4","2022-06-09",1,"Middle Water","2.6","0.003","5.9","0.03","0.41","0.26","0.24",26.5,"8.2","2.1",1.6,30.2,"2.6",7.7,"<0.002","0.029","0.12","3200","1100",5.5,82,"1.5","0.093","0.9","CI","middle"
"3179","Tolo Harbour and Channel","TM4","2022-06-09",1,"Bottom Water","3","0.001","6.4","0.04","0.32","0.11","0.27",24.9,"11","2.2",1.6,32.5,"1.6",7.6,"<0.002","0.11","0.1","2700","720",3,44,"0.5","0.055","0.7","CI","middle"
"3180","Tolo Harbour and Channel","TM4","2022-07-21",1,"Surface Water","1.2","0.003","6.8","0.03","0.2","0.19","0.05",30.3,"2","1.6",2,29.3,"0.6",8.1,"<0.002","<0.002","0.009","3","2",5.6,88,"2.5","0.036","1.5","CI","final"
"3181","Tolo Harbour and Channel","TM4","2022-07-21",1,"Middle Water","1.2","0.002","6.6","0.04","0.2","0.19","0.04",30.1,"2.5","1.6",2,29.7,"0.4",8,"<0.002","<0.002","0.009","29","4",5.1,80,"6.1","0.032","1.7","CI","final"
"3182","Tolo Harbour and Channel","TM4","2022-07-21",1,"Bottom Water","0.6","<0.001","6.7","0.06","0.31","0.26","0.09",25.9,"2.6","1.9",2,33.4,"1.8",7.7,"0.011","0.006","0.043","27","1",5.7,85,"3.4","0.037","1.1","CI","final"
