"featureid ""deployDate"" ""transferDate1"" ""transferDate2"" ""sampledDate"" ""site1"" ""site2"" ""site3"" ""water1"" ""water2"" ""water3"" ""movment"" ""daysInSite1"" ""daysInSite2"" ""daysInDite3"" ""dayTotal"" ""phase"" ""treatment"" ""sum_input"" ""sum_filtered"" ""sum_denoised"" ""sum_merged"" ""sum_nChimeric"" ""nChimericByInput"""
"69 ""2020-06-02"" """" """" ""2022-06-14"" ""TPC"" ""na"" ""na"" ""east"" ""east"" ""na"" ""east-east"" 742 NA NA 742 ""middle"" ""mBaseline"" 698886 642983 634897 609057 564192 0.807273289205965"
"70 ""2020-06-02"" """" """" ""2022-06-14"" ""TPC"" ""na"" ""na"" ""east"" ""east"" ""na"" ""east-east"" 742 NA NA 742 ""middle"" ""mBaseline"" 594243 536360 530579 511308 467820 0.787253699244249"
"71 ""2020-06-02"" """" """" ""2023-01-13"" ""TPC"" ""TPC"" ""TPC"" ""east"" ""east"" ""east"" ""east-east-east"" 955 NA NA 955 ""final"" ""fBaseline"" 488014 441045 432516 419466 403429 0.826675054404177"
"72 ""2020-06-02"" """" """" ""2023-01-13"" ""TPC"" ""TPC"" ""TPC"" ""east"" ""east"" ""east"" ""east-east-east"" 955 NA NA 955 ""final"" ""fBaseline"" 482882 434579 427961 409945 393549 0.815000352052882"
"75 ""2020-06-04"" ""2021-06-24"" """" ""2022-06-06"" ""CDA"" ""SK"" ""na"" ""west"" ""east"" ""na"" ""west-east"" 385 347 NA 732 ""resistance"" ""fishFarm"" 679599 624245 616785 591445 549085 0.80795439663684"
"76 ""2020-06-04"" ""2021-06-24"" ""2022-06-16"" ""2023-01-16"" ""CDA"" ""SK"" ""CDA"" ""west"" ""east"" ""west"" ""west-east-west"" 385 357 214 956 ""resilience"" ""fishFarm"" 647398 556109 548386 533711 510546 0.788612260155268"
"77 ""2020-06-04"" """" """" ""2023-01-16"" ""CDA"" ""CDA"" ""CDA"" ""west"" ""west"" ""west"" ""west-west-west"" 956 NA NA 956 ""final"" ""fBaseline"" 455996 408041 402164 386781 372491 0.81687339362626"
"78 ""2020-06-04"" """" """" ""2023-01-17"" ""CDA"" ""CDA"" ""CDA"" ""west"" ""west"" ""west"" ""west-west-west"" 957 NA NA 957 ""final"" ""fBaseline"" 475824 424929 417903 397541 378874 0.796248192609032"
"79 ""2020-06-04"" """" """" ""2022-06-02"" ""CDA"" ""na"" ""na"" ""west"" ""west"" ""na"" ""west-west"" 728 NA NA 728 ""middle"" ""mBaseline"" 713180 646569 639907 611821 567913 0.796310889256569"
"80 ""2020-06-04"" ""2021-09-02"" """" ""2022-06-07"" ""CDA"" ""CI"" ""na"" ""west"" ""east"" ""na"" ""west-east"" 455 278 NA 733 ""resistance"" ""eutrophication"" 672374 601837 595441 566464 515650 0.766909487874308"
"81 ""2020-06-04"" """" """" ""2022-06-02"" ""CDA"" ""na"" ""na"" ""west"" ""west"" ""na"" ""west-west"" 728 NA NA 728 ""middle"" ""mBaseline"" 519226 470817 464116 445429 419998 0.80889246686414"
"82 ""2020-06-04"" ""2021-07-02"" ""2022-06-16"" ""2023-01-19"" ""CDA"" ""CI"" ""CDA"" ""west"" ""east"" ""west"" ""west-east-west"" 393 349 217 959 ""resilience"" ""eutrophication"" 545252 478587 469321 448020 426498 0.782203458217485"
"83 ""2020-06-04"" ""2021-06-30"" """" ""2022-06-01"" ""CDA"" ""LM"" ""na"" ""west"" ""west"" ""na"" ""west-west"" 391 336 NA 727 ""resistance"" ""fishFarm"" 651385 580055 572244 536269 497437 0.763660507994504"
